"","doc_id","sentence_id","subject","predicate","object","triple_type","file"
"165","data_raw/portal/gsp_num_id_0007.pdf110",14,"that","may cause","undesirable results","direct","unfiltered_dependency_edgelist_0007.RDS"
"166","data_raw/portal/gsp_num_id_0007.pdf110",15,"Minimum thresholds","were developed for","all sustainability indicators","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"167","data_raw/portal/gsp_num_id_0007.pdf110",16,"that","could lead to","an undesirable result","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"168","data_raw/portal/gsp_num_id_0007.pdf110",17,"Undesirable results","were defined in","Section 4.3","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"169","data_raw/portal/gsp_num_id_0007.pdf110",17,"Undesirable results","were defined for","all sustainability indicators","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"170","data_raw/portal/gsp_num_id_0007.pdf110",17,"they","relate to","beneficial users","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"171","data_raw/portal/gsp_num_id_0007.pdf110",20,"The description","shall include","the following","direct","unfiltered_dependency_edgelist_0007.RDS"
"172","data_raw/portal/gsp_num_id_0007.pdf111",2,"Sustainable Management Criteria","describes","the minimum threshold","direct","unfiltered_dependency_edgelist_0007.RDS"
"173","data_raw/portal/gsp_num_id_0007.pdf111",2,"4 shows","describes","the minimum threshold","direct","unfiltered_dependency_edgelist_0007.RDS"
"174","data_raw/portal/gsp_num_id_0007.pdf111",3,"Information","is discussed in","Chapter 3","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"175","data_raw/portal/gsp_num_id_0007.pdf111",17,"The minimum threshold","is set to","LIFESON","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"176","data_raw/portal/gsp_num_id_0007.pdf111",17,"msl","exceed","the current rate","direct","unfiltered_dependency_edgelist_0007.RDS"
"177","data_raw/portal/gsp_num_id_0007.pdf111",18,"Quality EC dS","m based on","FAO 29","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"178","data_raw/portal/gsp_num_id_0007.pdf111",29,"None","Set","Surface Water","direct","unfiltered_dependency_edgelist_0007.RDS"
"179","data_raw/portal/gsp_num_id_0007.pdf111",34,"The minimum threshold","shall be","the groundwater elevation","direct","unfiltered_dependency_edgelist_0007.RDS"
"180","data_raw/portal/gsp_num_id_0007.pdf111",34,"that","may lead to","undesirable results","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"181","data_raw/portal/gsp_num_id_0007.pdf111",39,"The minimum threshold","shall be","a total volume","direct","unfiltered_dependency_edgelist_0007.RDS"
"182","data_raw/portal/gsp_num_id_0007.pdf111",39,"that","can be withdrawn from","the basin","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"183","data_raw/portal/gsp_num_id_0007.pdf112",3,"that","penetrates","the lower aquifer","direct","unfiltered_dependency_edgelist_0007.RDS"
"184","data_raw/portal/gsp_num_id_0007.pdf112",4,"that","pump below","the semi - confining Clay layer","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"185","data_raw/portal/gsp_num_id_0007.pdf112",5,"These wells","are located on","the west side","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"186","data_raw/portal/gsp_num_id_0007.pdf112",5,"These wells","are located within","a few miles","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"187","data_raw/portal/gsp_num_id_0007.pdf112",7,"These","are located in","the northeastern part","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"188","data_raw/portal/gsp_num_id_0007.pdf112",7,"These","are located to","the east","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"189","data_raw/portal/gsp_num_id_0007.pdf112",8,"well construction","varies across","AWD","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"190","data_raw/portal/gsp_num_id_0007.pdf112",8,"the District","has been separated into","zones","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"191","data_raw/portal/gsp_num_id_0007.pdf112",10,"All zones","used","the same methods","direct","unfiltered_dependency_edgelist_0007.RDS"
"192","data_raw/portal/gsp_num_id_0007.pdf112",28,"that","would contribute to","increased rates","prepositional","unfiltered_dependency_edgelist_0007.RDS"
"193","data_raw/portal/gsp_num_id_0007.pdf112",30,"which","could increase","reliance","direct","unfiltered_dependency_edgelist_0007.RDS"
